"GEO_NAME","bg_id"
"Plymouth","270530265082"
"Plymouth","270530265083"
"Plymouth","270530265091"
"Plymouth","270530265101"
"Stillwater","271630704042"
"Plymouth","270530265102"
"Plymouth","270530265111"
"Maple Grove","270530267085"
"Plymouth","270530266061"
"Plymouth","270530266062"
"Plymouth","270530266092"
"Plymouth","270530266101"
"Maple Grove","270530267062"
"Maple Grove","270530267063"
"Maple Grove","270530267081"
"Maple Grove","270530267082"
"Maple Grove","270530267111"
"Maple Grove","270530267122"
"Golden Valley","270530216022"
"Mendota Heights","270370606051"
"West St. Paul","270370601042"
"West St. Paul","270370601051"
"Minneapolis","270531052042"
"Minneapolis","270531056004"
"Minneapolis","270531256002"
"Minneapolis","270531109002"
"Minneapolis","270531115001"
"Eden Prairie","270530260212"
"Minneapolis","270531044002"
"Minneapolis","270531260003"
"Minneapolis","270530117043"
"Minneapolis","270531105002"
"Plymouth","270530266103"
"Plymouth","270530265141"
"Minnetonka","270530261042"
"Minneapolis","270531064001"
"Brooklyn Park","270530268114"
"Greenfield","270530270011"
"Minneapolis","270531057003"
"Minneapolis","270531057001"
"Minneapolis","270531052011"
"Minneapolis","270531025002"
"Bloomington","270531255003"
"Maple Grove","270530267072"
"Minneapolis","270531259003"
"Plymouth","270530265113"
"Brooklyn Park","270530268123"
"Stillwater","271630705013"
"Cottage Grove","271630712091"
"Forest Lake","271630701073"
"Hugo","271630702043"
"Hugo","271630702083"
"Cottage Grove","271630712102"
"Cottage Grove","271630712075"
"Hugo","271630702045"
"Woodbury","271630710013"
"Woodbury","271630710134"
"Woodbury","271630710163"
"Woodbury","271630710222"
"Cottage Grove","271630712071"
"Cottage Grove","271630712084"
"Lake Elmo","271630704064"
"Cottage Grove","271630712101"
"Oakdale","271630709064"
"Woodbury","271630710242"
"Stillwater","271630704043"
"Stillwater Twp.","271630704043"
"Hugo","271630702073"
"Forest Lake","271630701083"
"Mahtomedi","271630703034"
"Baytown Twp.","271630707063"
"Stillwater","271630706042"
"Oakdale","271630709104"
"Cottage Grove","271630712111"
"Woodbury","271630710192"
"Woodbury","271630710233"
"Woodbury","271630710193"
"Forest Lake","271630701082"
"Cottage Grove","271630712104"
"Forest Lake","271630701081"
"Woodbury","271630710194"
"Woodbury","271630710191"
"Woodbury","271630710196"
"Cottage Grove","271630712113"
"St. Paul Park","271630713003"
"Hugo","271630702081"
"Grant","271630704034"
"Lake Elmo","271630704053"
"Oakdale","271630709063"
"West Lakeland Twp.","271630707053"
"West Lakeland Twp.","271630707051"
"Oakdale","271630709094"
"West Lakeland Twp.","271630707052"
"Lakeland","271630711011"
"Woodbury","271630710213"
"Woodbury","271630710211"
"Woodbury","271630710202"
"Woodbury","271630710231"
"Woodbury","271630710234"
"Stillwater","271630706043"
"Baytown Twp.","271630707061"
"Stillwater","271630706031"
"Stillwater","271630706041"
"Forest Lake","271630701072"
"Hugo","271630702071"
"Woodbury","271630710063"
"Woodbury","271630710253"
"Woodbury","271630710103"
"Woodbury","271630710122"
"Oak Park Heights","271630707033"
"Hugo","271630702072"
"Oak Park Heights","271630707062"
"Cottage Grove","271630712093"
"Cottage Grove","271630712094"
"Hugo","271630702044"
"Woodbury","271630710124"
"Woodbury","271630710143"
"Woodbury","271630710104"
"Woodbury","271630710221"
"Woodbury","271630710252"
"Woodbury","271630710251"
"Woodbury","271630710254"
"Landfall","271630709103"
"Woodbury","271630710195"
"Woodbury","271630710232"
"Oakdale","271630709074"
"Oakdale","271630709091"
"Hugo","271630702082"
"Oakdale","271630709106"
"Woodbury","271630710201"
"Woodbury","271630710212"
"Stillwater","271630706032"
"Cottage Grove","271630712074"
"Forest Lake","271630701071"
"Oakdale","271630709105"
"Woodbury","271630710064"
"Woodbury","271630710142"
"Cottage Grove","271630712103"
"Woodbury","271630710241"
"Cottage Grove","271630712112"
"Bloomington","270530259082"
"Bloomington","270530254014"
"Bloomington","270530252014"
"Bloomington","270530259083"
"Maple Grove","270530267201"
"Bloomington","270530254034"
"Maple Grove","270530267192"
"Hanover","270530269125"
"St. Paul","271230361002"
"Roseville","271230413024"
"St. Paul","271230342016"
"St. Paul","271230342015"
"Roseville","271230413023"
"St. Paul","271230327003"
"St. Paul","271230428003"
"Shakopee","271390803055"
"Shakopee","271390803052"
"Shakopee","271390807003"
"Jackson Twp.","271390807003"
"Prior Lake","271390809054"
"Louisville Twp.","271390808021"
"Shakopee","271390803032"
"Shakopee","271390803031"
"Belle Plaine Twp.","271390813021"
"Belle Plaine","271390813021"
"St. Lawrence Twp.","271390813022"
"Belle Plaine Twp.","271390813022"
"Belle Plaine","271390813022"
"Jordan","271390813022"
"Sand Creek Twp.","271390813022"
"Shakopee","271390803062"
"Shakopee","271390803073"
"Jordan","271390808014"
"Shakopee","271390803051"
"Jordan","271390808012"
"Jordan","271390808022"
"Sand Creek Twp.","271390808022"
"Savage","271390802082"
"Spring Lake Twp.","271390810013"
"Prior Lake","271390809034"
"Savage","271390802081"
"Spring Lake Twp.","271390810011"
"Helena Twp.","271390812004"
"Cedar Lake Twp.","271390811012"
"Belle Plaine","271390813024"
"New Prague","271390812006"
"New Prague","271390812005"
"Cedar Lake Twp.","271390811013"
"Savage","271390802061"
"Savage","271390802093"
"New Market Twp.","271390811033"
"Elko New Market","271390811033"
"Savage","271390802094"
"Savage","271390802062"
"Jordan","271390808011"
"Prior Lake","271390809071"
"New Market Twp.","271390811035"
"Elko New Market","271390811035"
"Credit River","271390810022"
"Savage","271390802071"
"Savage","271390802063"
"Belle Plaine Twp.","271390813011"
"Shakopee","271390806004"
"Spring Lake Twp.","271390810015"
"Shakopee","271390806003"
"Shakopee","271390803045"
"Shakopee","271390803033"
"Shakopee","271390803061"
"Shakopee","271390803046"
"Shakopee","271390803042"
"Shakopee","271390803041"
"New Prague","271390812003"
"Helena Twp.","271390812003"
"Credit River","271390810014"
"Credit River","271390810023"
"Credit River","271390810021"
"Shakopee","271390803054"
"Belle Plaine Twp.","271390813025"
"Belle Plaine","271390813025"
"Belle Plaine Twp.","271390813012"
"Belle Plaine","271390813012"
"Jordan","271390808013"
"Belle Plaine","271390813023"
"New Market Twp.","271390811021"
"Prior Lake","271390809083"
"Spring Lake Twp.","271390809083"
"Savage","271390802023"
"Prior Lake","271390810012"
"Spring Lake Twp.","271390810012"
"Shakopee","271390809035"
"Prior Lake","271390809035"
"Shakopee","271390803043"
"Shakopee","271390803071"
"Prior Lake","271390809072"
"Cedar Lake Twp.","271390811011"
"Savage","271390802072"
"Prior Lake","271390809082"
"Elko New Market","271390811032"
"Prior Lake","271390809053"
"Prior Lake","271390809081"
"Credit River","271390809064"
"Savage","271390802091"
"Shakopee","271390803074"
"Shakopee","271390803053"
"Shakopee","271390803044"
"Shakopee","271390803072"
"New Market Twp.","271390811022"
"New Market Twp.","271390811034"
"Elko New Market","271390811034"
"New Market Twp.","271390811031"
"Elko New Market","271390811031"
"Savage","271390802092"
"Louisville Twp.","271390807002"
"Shakopee","271390807002"
"Jackson Twp.","271390807002"
"Rogers","270530269124"
"Medina","270530271016"
"Rogers","270530269122"
"Plymouth","270530265162"
"New Hope","270530215035"
"Plymouth","270530265074"
"Plymouth","270530266151"
"Maple Grove","270530267213"
"Plymouth","270530266142"
"Eden Prairie","270530260264"
"Minnetonka","270530264051"
"Minnetonka","270530264062"
"Brooklyn Center","270530202013"
"Brooklyn Center","270530202021"
"Maple Grove","270530267073"
"Brooklyn Park","270530268283"
"Brooklyn Park","270530268272"
"Brooklyn Park","270530268193"
"Eden Prairie","270530260064"
"Hopkins","270530232011"
"Brooklyn Center","270530202025"
"Minneapolis","270531262011"
"Maple Grove","270530267251"
"Brooklyn Center","270530204004"
"Brooklyn Center","270530204005"
"Maple Grove","270530267261"
"Maple Grove","270530267252"
"Maple Grove","270530267263"
"Minneapolis","270530001014"
"Minneapolis","270531016004"
"Minneapolis","270531263001"
"Minneapolis","270530032001"
"Edina","270530239012"
"Minneapolis","270531016003"
"Maple Grove","270530267253"
"Brooklyn Park","270530268262"
"Shorewood","270530275043"
"Minneapolis","270531048022"
"Bloomington","270530259065"
"Champlin","270530269034"
"Plymouth","270530266143"
"Maple Grove","270530267232"
"Minneapolis","270530006032"
"Minneapolis","270531263004"
"Minneapolis","270531041003"
"St. Louis Park","270530228023"
"Plymouth","270530265164"
"Medicine Lake","270530265164"
"Minneapolis","270531263002"
"Minneapolis","270531030002"
"Minneapolis","270531262013"
"Dayton","270530269105"
"Minneapolis","270531026004"
"Minneapolis","270531031002"
"Orono","270530272052"
"Minneapolis","270531262021"
"Minneapolis","270531261024"
"Minneapolis","270531030003"
"Minnetrista","270530277033"
"Minneapolis","270531258004"
"Minneapolis","270531052013"
"Brooklyn Park","270530268261"
"Minneapolis","270531261012"
"Minneapolis","270531261021"
"Excelsior","270530275012"
"Minneapolis","270531052043"
"Richfield","270530249041"
"Minneapolis","270530006015"
"Minneapolis","270530068004"
"Minneapolis","270531069003"
"Minneapolis","270530038021"
"Minneapolis","270530038022"
"Minneapolis","270531040013"
"Hopkins","270530234022"
"Plymouth","270530265093"
"Brooklyn Park","270530268242"
"Eden Prairie","270530260154"
"Eden Prairie","270530260155"
"Bloomington","270530259093"
"Bloomington","270530257043"
"Bloomington","270530257044"
"Bloomington","270530257042"
"Bloomington","270530257041"
"Minneapolis","270531040011"
"Minneapolis","270531049022"
"Minneapolis","270531049024"
"Maple Grove","270530267171"
"Maple Grove","270530267193"
"Eden Prairie","270530260251"
"Minneapolis","270531049025"
"Minneapolis","270531026003"
"Hopkins","270530234021"
"St. Anthony","270530201023"
"Richfield","270530246004"
"Minneapolis","270531054003"
"Minneapolis","270530059023"
"Minneapolis","270531261022"
"Bloomington","270530251001"
"St. Louis Park","270530230002"
"Minneapolis","270530006033"
"St. Louis Park","270530230004"
"Minneapolis","270530120014"
"Minneapolis","270530120013"
"Richfield","270530241004"
"Minneapolis","270531048011"
"Minnetonka","270530264033"
"Minnetonka","270530264031"
"Minneapolis","270531048012"
"Minneapolis","270531049011"
"Dayton","270530269103"
"St. Louis Park","270530229015"
"St. Louis Park","270530229012"
"Minneapolis","270530120011"
"Orono","270530272051"
"Crystal","270530210022"
"Crystal","270530210023"
"Minneapolis","270530003003"
"Greenwood","270530275015"
"Brooklyn Park","270530268244"
"Minnetonka","270530264044"
"Eden Prairie","270530260204"
"Eden Prairie","270530260242"
"Eden Prairie","270530260271"
"Eden Prairie","270530260272"
"Maple Grove","270530267202"
"Bloomington","270530259081"
"Bloomington","270531255004"
"Bloomington","270530252015"
"Maple Grove","270530267231"
"Bloomington","270530259084"
"Bloomington","270530257026"
"Bloomington","270531255001"
"Rogers","270530269112"
"Bloomington","270530258013"
"Bloomington","270530253024"
"Bloomington","270530254032"
"Maple Grove","270530267221"
"Maple Grove","270530267223"
"Rogers","270530269126"
"Wayzata","270530273003"
"Independence","270530270025"
"Corcoran","270530271025"
"Corcoran","270530271022"
"Rogers","270530269111"
"Maple Grove","270530267172"
"Dayton","270530269104"
"Maple Grove","270530267182"
"Rogers","270530269113"
"Dayton","270530269101"
"Brooklyn Park","270530268077"
"Brooklyn Park","270530268163"
"Brooklyn Park","270530268164"
"Hopkins","270530234013"
"Eden Prairie","270530260194"
"Medina","270530271014"
"Rogers","270530269123"
"Maple Grove","270530267244"
"Orono","270530272041"
"Maple Grove","270530267191"
"Medina","270530271015"
"Plymouth","270530266162"
"Maple Grove","270530267173"
"Maple Grove","270530267203"
"Maple Grove","270530267194"
"Maple Grove","270530267075"
"Maple Grove","270530267181"
"Maple Grove","270530267233"
"Plymouth","270530266164"
"Plymouth","270530266161"
"Plymouth","270530266152"
"Orono","270530272042"
"Minneapolis","270531087001"
"Plymouth","270530265161"
"Minneapolis","270531040012"
"New Hope","270530215032"
"Brooklyn Park","270530268124"
"Brooklyn Park","270530268093"
"Rogers","270530269121"
"St. Bonifacius","270530277022"
"Champlin","270530269073"
"Golden Valley","270530216014"
"Plymouth","270530265053"
"Plymouth","270530265073"
"Minnetonka","270530264052"
"Champlin","270530269071"
"Maple Grove","270530267083"
"Maple Grove","270530267084"
"Eden Prairie","270530260062"
"Maple Grove","270530267212"
"Maple Grove","270530267211"
"Maple Grove","270530267243"
"Hopkins","270530232021"
"Plymouth","270530266172"
"Plymouth","270530266171"
"Minnetonka","270530264053"
"St. Louis Park","270530222005"
"Brooklyn Center","270530204002"
"Brooklyn Park","270530268146"
"Brooklyn Center","270530202011"
"Plymouth","270530265092"
"Maple Grove","270530267074"
"Plymouth","270530266104"
"Minnetonka","270530263013"
"Minneapolis","270531263003"
"Maple Grove","270530267262"
"Brooklyn Park","270530268281"
"Brooklyn Park","270530268271"
"Maple Grove","270530267241"
"Eden Prairie","270530260054"
"Eden Prairie","270530260145"
"Brooklyn Center","270530202023"
"Brooklyn Center","270530202024"
"Brooklyn Center","270530202022"
"Minnetrista","270530277031"
"Deephaven","270530274005"
"Hopkins","270530233003"
"Hopkins","270530233005"
"Hopkins","270530232012"
"Minnetrista","270530277011"
"St. Bonifacius","270530277021"
"Minnetrista","270530277013"
"Maple Grove","270530267174"
"Eden Prairie","270530260131"
"Eden Prairie","270530260144"
"Eden Prairie","270530260134"
"Plymouth","270530265145"
"Minnetonka","270530264061"
"Hopkins","270530232023"
"Eden Prairie","270530260233"
"Brooklyn Park","270530268263"
"Brooklyn Park","270530268251"
"Minnetrista","270530277034"
"Maple Plain","270530270024"
"Minnetrista","270530277012"
"Mound","270530276012"
"Plymouth","270530265142"
"Plymouth","270530266141"
"Plymouth","270530265152"
"Plymouth","270530266163"
"Hopkins","270530234012"
"Eden Prairie","270530260072"
"Champlin","270530269065"
"Brooklyn Park","270530268243"
"Plymouth","270530265151"
"Brooklyn Park","270530268282"
"Eden Prairie","270530260213"
"Eden Prairie","270530260252"
"Eden Prairie","270530260152"
"Eden Prairie","270530260203"
"Eden Prairie","270530260191"
"Eden Prairie","270530260232"
"Bloomington","270530257032"
"Bloomington","270530256034"
"Bloomington","270530259091"
"Bloomington","270530257031"
"Bloomington","270530259092"
"Eden Prairie","270530260262"
"Eden Prairie","270530260281"
"Bloomington","270530252013"
"Bloomington","270530252016"
"Bloomington","270530257025"
"Minneapolis","270531040023"
"Minneapolis","270531049023"
"Minneapolis","270531040024"
"Minneapolis","270530119982"
"Minneapolis","270530119984"
"Minneapolis","270531049021"
"Fort Snelling (unorg.)","270539801002"
"Fort Snelling (unorg.)","270539801001"
"Minneapolis","270530121023"
"Eden Prairie","270530260263"
"Brooklyn Park","270530268252"
"Plymouth","270530266153"
"Eden Prairie","270530260193"
"Maple Grove","270530267242"
"Eden Prairie","270530260261"
"Brooklyn Park","270530268224"
"Minnetonka","270530264063"
"Brooklyn Park","270530268241"
"Edina","270530239014"
"Minneapolis","270530006013"
"Minneapolis","270531048023"
"Brooklyn Park","270530268234"
"Hopkins","270530234011"
"Shorewood","270530275044"
"Minneapolis","270531065004"
"Minneapolis","270530120035"
"Richfield","270530247004"
"Richfield","270530249042"
"Richfield","270530249043"
"Minneapolis","270531256003"
"Minneapolis","270531262022"
"Minneapolis","270531040021"
"Minneapolis","270531262012"
"Minnetrista","270530277032"
"Minneapolis","270531037004"
"Minneapolis","270530038011"
"Minneapolis","270530038012"
"Minneapolis","270531261023"
"Minneapolis","270531262023"
"Minneapolis","270531261025"
"Minneapolis","270531262024"
"Minneapolis","270531261011"
"Minneapolis","270530120015"
"Minneapolis","270531261013"
"Minneapolis","270531036003"
"Minneapolis","270531044003"
"Plymouth","270530265163"
"Minneapolis","270530006014"
"Minneapolis","270531067001"
"Minneapolis","270531070002"
"Brooklyn Center","270530202012"
"Minneapolis","270531049012"
"Hopkins","270530232022"
"Bloomington","270530256013"
"Minneapolis","270530059013"
"Minneapolis","270531040022"
"Minneapolis","270531048021"
"Brooklyn Park","270530268233"
"St. Louis Park","270530228022"
"St. Louis Park","270530229014"
"Richfield","270530241003"
"Minneapolis","270530120032"
"Richfield","270530244003"
"Edina","270530235014"
"Bloomington","270530251004"
"Minneapolis","270530085003"
"Brooklyn Park","270530268253"
"Eden Prairie","270530260241"
"Eden Prairie","270530260231"
"Eden Prairie","270530260282"
"Maple Grove","270530267222"
"St. Louis Park","270531225001"
"St. Louis Park","270531225002"
"Andover","270030502081"
"Andover","270030502221"
"Coon Rapids","270030507113"
"Columbia Heights","270030513042"
"Blaine","270030508163"
"East Bethel","270030501112"
"East Bethel","270030501113"
"Columbia Heights","270030514001"
"Blaine","270030508081"
"Lino Lakes","270030502331"
"Coon Rapids","270030507043"
"Fridley","270030512012"
"Blaine","270030508101"
"Fridley","270030511031"
"Coon Rapids","270030507112"
"Columbia Heights","270030513041"
"Linwood Twp.","270030516002"
"Coon Rapids","270030507121"
"Coon Rapids","270030507124"
"East Bethel","270030501091"
"Hugo","271630702041"
"Hugo","271630702042"
"Columbia Heights","270030514003"
"Fridley","270030511014"
"Andover","270030502202"
"Coon Rapids","270030507073"
"Columbia Heights","270030514004"
"East Bethel","270030501092"
"East Bethel","270030501093"
"East Bethel","270030501094"
"East Bethel","270030501102"
"East Bethel","270030501111"
"Scandia","271630702052"
"May Twp.","271630702063"
"Dellwood","271630703012"
"Grant","271630703012"
"White Bear Lake","271630703032"
"Mahtomedi","271630703032"
"St. Paul","271230301004"
"St. Paul","271230301005"
"St. Paul","271230302011"
"St. Paul","271230302021"
"St. Paul","271230302013"
"St. Paul","271230301003"
"St. Paul","271230302014"
"St. Paul","271230303001"
"St. Paul","271230303002"
"St. Paul","271230303003"
"Mahtomedi","271630703042"
"St. Paul","271230304001"
"St. Paul","271230304002"
"St. Paul","271230304003"
"St. Paul","271230305001"
"St. Paul","271230305003"
"St. Paul","271230306011"
"Mahtomedi","271630703043"
"Grant","271630704032"
"Grant","271630704033"
"Grant","271630704031"
"Stillwater Twp.","271630704041"
"Lake St. Croix Beach","271630711012"
"St. Marys Point","271630711012"
"Lake Elmo","271630704061"
"Lake Elmo","271630704062"
"Deephaven","270530274002"
"Deephaven","270530274003"
"Deephaven","270530274004"
"Tonka Bay","270530275011"
"Excelsior","270530275014"
"Shorewood","270530275032"
"Shorewood","270530275034"
"Shorewood","270530275033"
"Shorewood","270530275042"
"Mound","270530276011"
"Mound","270530276013"
"Mound","270530276021"
"Mound","270530276022"
"Mound","270530276024"
"Mound","270530276025"
"Minneapolis","270531036001"
"Minneapolis","270531036002"
"Minneapolis","270531037001"
"Minneapolis","270531039001"
"Mound","270530276026"
"Minneapolis","270531025001"
"Minneapolis","270531026001"
"Minneapolis","270531026002"
"Minneapolis","270531028001"
"Minneapolis","270531028002"
"Minneapolis","270531030001"
"Minneapolis","270531031001"
"Minneapolis","270531034001"
"Minneapolis","270531034002"
"Minneapolis","270531034003"
"Maple Grove","270530267131"
"Maple Grove","270530267132"
"Maple Grove","270530267133"
"Maple Grove","270530267134"
"Minneapolis","270531041002"
"Minneapolis","270531044001"
"Minneapolis","270531002002"
"Minneapolis","270531002001"
"Minneapolis","270531004003"
"Minneapolis","270531005001"
"Minneapolis","270531005002"
"Minneapolis","270531007002"
"Minneapolis","270531008004"
"Minneapolis","270531009001"
"Minneapolis","270531009002"
"Minneapolis","270531009003"
"Minneapolis","270531012001"
"Minneapolis","270531012004"
"Brooklyn Park","270530268071"
"Brooklyn Park","270530268075"
"Brooklyn Park","270530268091"
"Minneapolis","270531013001"
"Minneapolis","270531257001"
"Minneapolis","270531016001"
"Minneapolis","270531018001"
"Minneapolis","270531018002"
"Minneapolis","270531019001"
"Minneapolis","270531019002"
"Minneapolis","270531019003"
"Minneapolis","270531021001"
"Minneapolis","270531021002"
"Minneapolis","270531021003"
"Brooklyn Park","270530268112"
"Brooklyn Park","270530268113"
"Brooklyn Park","270530268141"
"Brooklyn Park","270530268142"
"Brooklyn Park","270530268143"
"Brooklyn Park","270530268144"
"Brooklyn Park","270530268145"
"Brooklyn Park","270530268151"
"Brooklyn Park","270530268152"
"Brooklyn Park","270530268153"
"Brooklyn Park","270530268161"
"Brooklyn Park","270530268162"
"Brooklyn Park","270530268165"
"Brooklyn Park","270530268181"
"Brooklyn Park","270530268182"
"Brooklyn Park","270530268221"
"Champlin","270530269032"
"Champlin","270530269033"
"Champlin","270530269061"
"Champlin","270530269062"
"Champlin","270530269063"
"Champlin","270530269072"
"Champlin","270530269081"
"Champlin","270530269082"
"Champlin","270530269083"
"Dayton","270530269102"
"Maple Plain","270530270021"
"Independence","270530270022"
"Independence","270530270023"
"Medina","270530271011"
"Medina","270530271012"
"Loretto","270530271013"
"Corcoran","270530271021"
"Corcoran","270530271023"
"Corcoran","270530271024"
"Long Lake","270530272021"
"Long Lake","270530272022"
"Orono","270530272032"
"Wayzata","270530273002"
"Wayzata","270530273004"
"Minneapolis","270531115005"
"Minneapolis","270531115003"
"Minneapolis","270531116001"
"Minneapolis","270531116002"
"Minneapolis","270531116003"
"Minneapolis","270531116004"
"Minneapolis","270531091003"
"Minneapolis","270531091004"
"Minneapolis","270531091005"
"Minneapolis","270531092002"
"Minneapolis","270531093002"
"Minneapolis","270531094001"
"Minneapolis","270531094002"
"Minneapolis","270531097001"
"Minneapolis","270531097002"
"Minneapolis","270531098001"
"Minneapolis","270531098003"
"Minneapolis","270531098004"
"Minneapolis","270531098005"
"Minneapolis","270531099002"
"Minneapolis","270531099004"
"Minneapolis","270531100001"
"Minneapolis","270531090002"
"Minneapolis","270531091001"
"Minneapolis","270531055001"
"Minneapolis","270531055004"
"Minneapolis","270531060001"
"Minneapolis","270531054001"
"Minneapolis","270531060002"
"Minneapolis","270531062002"
"Minneapolis","270531065003"
"Minneapolis","270531111002"
"Minneapolis","270531111004"
"Minneapolis","270531112001"
"Minneapolis","270531112002"
"Minneapolis","270531112003"
"Minneapolis","270531113001"
"Minneapolis","270531113002"
"Minneapolis","270531113003"
"Minneapolis","270531113005"
"Minneapolis","270531111003"
"Minneapolis","270531114001"
"Minneapolis","270531114002"
"Minneapolis","270531114003"
"Minneapolis","270531114004"
"Minneapolis","270531066001"
"Minneapolis","270531066002"
"Minneapolis","270531074001"
"Minneapolis","270531074002"
"Minneapolis","270531075002"
"Minneapolis","270531076001"
"Minneapolis","270531258001"
"Minneapolis","270531076002"
"Minneapolis","270531076003"
"Minneapolis","270531080001"
"Minneapolis","270531080002"
"Minneapolis","270531080003"
"Minneapolis","270531080004"
"Minneapolis","270531086001"
"Minneapolis","270531086002"
"Minneapolis","270531086003"
"Minneapolis","270531087003"
"Minneapolis","270531088001"
"Minneapolis","270531088002"
"Minneapolis","270531088003"
"Minneapolis","270531088004"
"Minneapolis","270531089001"
"Minneapolis","270531051002"
"Minneapolis","270531051003"
"Minneapolis","270531052041"
"Minneapolis","270531102004"
"Minneapolis","270531104001"
"Minneapolis","270531104002"
"Minneapolis","270531100002"
"Minneapolis","270531101001"
"Minneapolis","270531101003"
"Minneapolis","270531102002"
"Minneapolis","270531105003"
"Minneapolis","270531105004"
"Minneapolis","270531105005"
"Minneapolis","270531105001"
"Minneapolis","270531109003"
"Minneapolis","270531109001"
"Minneapolis","270531111001"
"Minneapolis","270531067002"
"Minneapolis","270531070001"
"Minneapolis","270531070003"
"Minneapolis","270531260001"
"Fridley","270030512062"
"Columbia Heights","270030513021"
"Columbia Heights","270030513022"
"Columbia Heights","270030513023"
"Columbia Heights","270030513051"
"Columbia Heights","270030513052"
"Hilltop","270030513053"
"Columbia Heights","270030514002"
"Columbia Heights","270030515011"
"Columbia Heights","270030515012"
"Columbia Heights","270030515021"
"Oak Grove","270030501154"
"Nowthen","270030501162"
"Andover","270030502082"
"Coon Rapids","270030507114"
"Coon Rapids","270030507122"
"Coon Rapids","270030507123"
"Blaine","270030508071"
"Blaine","270030508073"
"Columbus","270030502102"
"Columbus","270030502103"
"Columbus","270030502104"
"Ham Lake","270030502151"
"Coon Rapids","270030507061"
"Blaine","270030508162"
"Lexington","270030509011"
"Ham Lake","270030502162"
"Ham Lake","270030502163"
"Andover","270030502172"
"Andover","270030502182"
"Andover","270030502191"
"Fridley","270030511013"
"Fridley","270030511023"
"Fridley","270030511033"
"Fridley","270030512011"
"Fridley","270030512013"
"Fridley","270030512021"
"Fridley","270030512031"
"Fridley","270030512032"
"Minneapolis","270530059012"
"Minneapolis","270530059021"
"Minneapolis","270530059022"
